PeakF	MaxF	MinF	StartF	EndF	Inflec	PRR	Sound	Dur	BW	RangeF	TrendF
285.3	314	162	277	249	2	0	MM	1.05	152	1.938271605	1.112449799
279.9	709.7	142.8	142.8	709.7	0	0	WO	0.197	566.9	4.969887955	0.20121178
236.9	748.7	168.8	294	748.7	0	0	WO	0.165	579.9	4.43542654	0.392680646
102.3	320.2	41.3	136	200	0	0	LBA	3.369	278.9	7.753026634	0.68
102.3	307.5	30.6	101	185	0	0	BA	1.799	276.9	10.04901961	0.545945946
430.7	549.5	217.5	217.5	437	0	0	BLW	5.387	332	2.526436782	0.49771167
75.4	87.1	59.4	59.4	74	0	0	CRK	0.359	27.7	1.466329966	0.802702703
70	84.7	56.2	56.2	71	1	0	CRK	0.437	28.5	1.507117438	0.791549296
70	80.8	52.3	62	52	1	0	CRK	0.587	28.5	1.544933078	1.192307692
70	84.7	57.8	57.8	69	1	0	CRK	0.513	26.9	1.465397924	0.837681159
113	133.1	92.7	92.7	133.1	2	0	MM	1.571	40.4	1.435814455	0.69646882
269.2	374.2	135.8	135.2	350	0	0	PRR	1.302	238.4	2.755522828	0.386285714
123.8	151	104.3	104.3	130	3	0	MM	1.506	46.7	1.447746884	0.802307692
269.2	395.7	157.3	157.3	395.7	0	0	PRR	1.617	238.4	2.515575334	0.397523376
70	87.9	54.6	67	54.6	1	0	CRK	0.637	33.3	1.60989011	1.227106227
75.4	89.5	55.4	67	55.4	1	0	CRK	0.656	34.1	1.615523466	1.209386282
70	87.1	45.9	67	45.9	1	0	CRK	0.72	41.2	1.897603486	1.459694989
75.4	91.9	51.5	71	51.5	1	0	CRK	0.665	40.4	1.784466019	1.378640777
118.4	185.3	101.4	158	171	2	0	AM	0.464	83.9	1.827416174	0.923976608
123.8	167.9	90.3	167.9	90	1	0	GR	0.236	77.6	1.859357697	1.865555556
113	177.4	90.3	177.4	90	1	0	GR	0.213	87.1	1.964562569	1.971111111
102.3	177.4	80.8	177.4	80	1	0	GR	0.255	96.6	2.195544554	2.2175
